PRODUCT_CATEGORY,REVIEW_TEXT,SAMPLE_TYPE
Shoes,These slippers are very cute.  They look like they will last a long time.,GUIDED
Wireless,Have been using this for a while now.  I have not had any issues with it either. It's nice to be able to charge my phone at the same time without having to worry about getting lost in wireless territory.,GUIDED
Beauty,The color is absolutely beautiful.,GUIDED
Grocery,"This is a great product.  I have been using it for about 3 months now and am very pleased with the quality of the product.  If you are looking for something that will entertain your family or friends, this is the place to start.",NON-GUIDED
Furniture,"My boys both love this stuff.  I bought it for my mom and she loves it so much that we decided to give it a try. It came with 2 1/2&#34; pouches, one of which is small enough to hold all the furniture in place.",GUIDED
Grocery,"Howling Dog Food is a must have for anyone who wants to learn how to properly feed their dogs.  This book offers you the basics of proper feeding techniques, tips and tricks in order to make your dog's life so much easier. I highly recommend this book! If you are looking for an easy way to train your dog (or any other animal) to properly feed his/her food he or she will want to look no further than this book.  The instructions can be found here: http://www.amazon.com/gp/product/B00RZCQ-EN/ref=oh_search_detailpage?ie=UTF8&psc=1 http://www.amazon.",NON-GUIDED
Apparel,They work great.  They are easy to put together and look like they will last for a long time.,NON-GUIDED
Home Entertainment,It's a must have for anyone who wants to make their own home entertainment system.,NON-GUIDED
Home Improvement,Works great!  I bought this for my husband and he loves it.  It is easy to set up and operate with ease.,GUIDED
Health & Personal Care,"The store I usually buy these for my husband, he loves them so much that we bought him a second one.  He was very happy with the purchase and will be ordering another one soon.",GUIDED
Lawn and Garden,"Well made, great product.  I use it all the time for my garden. I would recommend this product to anyone who is looking for a way to keep their lawn grass growing so that you don't have to worry about weeds coming through your yard.",NON-GUIDED
Video Games,"Got this for my 3DS XL.  It was the first time I've owned a game console before, and it's been awesome.  The graphics are amazing.",NON-GUIDED
Musical Instruments,"Not Used -  I've been using these for a while now and have not had any problems with them. I like that they are easy to install on the back side of my car, which is great since you don't have to worry about it falling off.",NON-GUIDED
Electronics,"Got this as a gift for my husband and he loved it.  He loves the way it looks on his phone, etc.",GUIDED
Home Improvement,I'm in the process of getting this unit to work.  I have no idea how long it will last but that is a big plus.,GUIDED
Lawn and Garden,I am very pleased with this purchase.,GUIDED
Video DVD,First time I watched this movie.  It was a must have for anyone who is new to Blu-raying but still interested in the story and characters that came along with it.,NON-GUIDED
Sports,"Simply put, this is a great product for the money.  I have had no problems with it or any of my other products.",NON-GUIDED
Luggage,"The only thing I don't like about this is that it's a little bit long.  However, if you are going to be carrying your luggage for the rest of the day and not having time to put everything in one place (like my laptop or other items) then this is an excellent purchase.",GUIDED
Watches,Saved us a ton of compliments on this watch.  It is very well made and looks just like the picture.  We are going to order another one as soon as we receive them.,GUIDED
Furniture,"Booked for my husband and he loves it.  He has a lot of room in his living room, so I don't have to worry about the furniture falling apart or anything like that.",NON-GUIDED
Office Products,This is not a replacement for the one that came with this printer.  It does exactly what it was supposed to do and works just as advertised.,GUIDED
Baby,I bought this for my 3 year old and she loves it.  It's the perfect size for her to wear everyday.  She is 5'8&#34; and weighs 145 pounds.  I am 6'3&#34; and weigh 135 pounds.,GUIDED
